Time,R,G,G/R,dG/R,dG/R
ms,AFU,AFU,%,%,%
LineScan-02052019-1234-2683,,,,,filtered
3297.481,1709.667,1787.667,104.562,-1.504,13.266,
3302.048,1652.5,1853.333,112.153,6.087,15.292,
3306.615,1702.667,2137.833,125.558,19.491,16.547,
3311.182,1547.667,1920,124.058,17.991,16.395,
3315.749,1537.833,1822.667,118.522,12.455,16.482,
3320.316,1616.667,1885.5,116.629,10.562,17.251,
3324.884,1545.833,1943,125.693,19.626,18.293,
3329.451,1499,1852.5,123.582,17.516,18.404,
3334.018,1655,1948,117.704,11.637,18.808,
3338.585,1619.167,1902.5,117.499,11.432,19.903,
3343.152,1700.167,1910.167,112.352,6.285,21.048,
3347.719,1624.167,2078.667,127.984,21.917,22.755,
3352.286,1713.167,2091,122.055,15.988,22.735,
3356.854,1545.5,2207.167,142.812,36.746,23.346,
3361.421,1654.5,2351,142.097,36.031,21.689,
3365.988,1624.167,2111.667,130.015,23.949,20.153,
3370.555,1638.333,2043.667,124.741,18.674,20.008,
3375.122,1684,1845.5,109.59,3.524,20.512,
3379.689,1626.667,2114.5,129.99,23.923,22.719,
3384.256,1584.167,1992.333,125.765,19.699,22.715,
3388.824,1578.167,1777.5,112.631,6.564,23.187,
3393.391,1539.667,2000.167,129.909,23.842,25.082,
3397.958,1587.5,2297,144.693,38.626,25.049,
3402.525,1760,2079.333,118.144,12.077,23.374,
3407.092,1536.5,2149,139.863,33.797,24.583,
3411.659,1506,2111.167,140.184,34.117,23.389,
3416.227,1577.5,1926.667,122.134,16.068,22.157,
3420.794,1625.333,2002.667,123.216,17.149,22.895,
3425.361,1575,2165.333,137.481,31.415,23.488,
3429.928,1627.333,2157.167,132.558,26.492,22.488,
3434.495,1694.167,2046.167,120.777,14.711,21.999,
3439.062,1678,1987.333,118.435,12.368,22.755,
3443.629,1661.5,2167.833,130.474,24.408,23.691,
3448.197,1580,2276.167,144.061,37.995,23.216,
3452.764,1544.5,2018.333,130.679,24.612,21.174,
3457.331,1627.833,2085.167,128.095,22.028,20.533,
3461.898,1588.667,2152.833,135.512,29.445,20.111,
3466.465,1530.667,1881.833,122.942,16.875,18.824,
3471.032,1568.667,1934.333,123.311,17.244,18.86,
3475.599,1536.833,2170.833,141.254,35.187,18.796,
3480.167,1602.333,2043.833,127.554,21.487,16.722,
3484.734,1733.333,2009.167,115.913,9.847,16.123,
3489.301,1733.5,2059.333,118.796,12.73,16.766,
3493.868,1646.5,2012.833,122.249,16.183,17.047,
3498.435,1586.833,1925.167,121.321,15.255,16.901,
3503.002,1582.833,2118.667,133.853,27.786,16.813,
3507.569,1538.5,2183,141.891,35.825,15.332,
3512.137,1639.833,1825.333,111.312,5.246,13.004,
3516.704,1667.333,2077.833,124.62,18.554,14.079,
3521.271,1567.167,1905.333,121.578,15.512,13.764,
3525.838,1698.667,1892.5,111.411,5.344,13.867,
3530.405,1604.833,1967.333,122.588,16.521,15.171,
3534.972,1598.667,1872.833,117.15,11.083,15.343,
3539.539,1632.833,1785.667,109.36,3.293,16.209,
3544.107,1604,1926.5,120.106,14.039,18.017,
3548.674,1539.667,1976.667,128.383,22.316,18.732,
3553.241,1672.167,1874,112.07,6.004,18.634,
3557.808,1524.333,2027.167,132.987,26.92,20.415,
3562.375,1565.5,2051.5,131.044,24.978,20,
3566.942,1662.667,1972,118.605,12.538,19.906,
3571.51,1480.667,1669,112.719,6.653,21.274,
3576.077,1581.667,1934.833,122.329,16.262,23.349,
3580.644,1559.167,1743,111.79,5.724,24.396,
3585.211,1549.667,1957.333,126.307,20.24,26.574,
3589.778,1609.5,2184,135.694,29.628,27.1,
3594.345,1580.167,2186.667,138.382,32.315,26.524,
3598.912,1618.333,2239.667,138.393,32.327,25.583,
3603.48,1569.5,1950.167,124.254,18.187,24.582,
3608.047,1581,2118.333,133.987,27.92,25.07,
3612.614,1551.333,2054.833,132.456,26.389,24.434,
3617.181,1481.5,2098.667,141.658,35.592,23.919,
3621.748,1561,2321.833,148.74,42.674,22.381,
3626.315,1707.5,1984,116.193,10.127,20.101,
3630.882,1650.667,2203.5,133.492,27.425,21.434,
3635.45,1628.167,2043,125.479,19.412,20.928,
3640.017,1460.667,1856.5,127.099,21.033,21.364,
3644.584,1706.333,1949.833,114.27,8.204,21.688,
3649.151,1580.5,2077.333,131.435,25.369,23.463,
3653.718,1699.333,2061.833,121.332,15.265,23.395,
3658.285,1672.333,2113.5,126.38,20.314,24.459,
3662.852,1502.167,2115.333,140.819,34.752,24.984,
3667.42,1471.833,1710.167,116.193,10.126,23.947,
3671.987,1626.833,2210.667,135.888,29.821,25.615,
3676.554,1724,2181.5,126.537,20.471,25.125,
3681.121,1533,2115.5,137.997,31.931,25.652,
3685.688,1621.833,2235.333,137.828,31.761,24.92,
3690.255,1693.667,1958.167,115.617,9.55,24.212,
3694.823,1478.5,1770.667,119.761,13.694,25.928,
3699.39,1456.333,2189.167,150.32,44.254,27.15,
3703.957,1665.833,2111.333,126.743,20.677,24.997,
3708.524,1531.833,2030,132.521,26.454,25.414,
3713.091,1566.5,2053,131.056,24.99,25.188,
3717.658,1576,2291.5,145.4,39.333,25.119,
3722.225,1473.833,2143.5,145.437,39.37,23.497,
3726.793,1701.167,2095.833,123.2,17.133,21.921,
3731.36,1648.667,1903.667,115.467,9.4,22.833,
3735.927,1671.833,1836,109.82,3.753,24.607,
3740.494,1530.333,2019.333,131.954,25.887,26.96,
3745.061,1567,2027.167,129.366,23.299,26.813,
3749.628,1615,2318.5,143.56,37.494,26.858,
3754.195,1514.167,2208.667,145.867,39.8,25.261,
3758.763,1644.333,2082.5,126.647,20.58,23.348,
3763.33,1646.333,1907,115.833,9.767,23.481,
3767.897,1584.833,2420.167,152.708,46.641,24.715,
3772.464,1459,1895.333,129.906,23.84,21.841,
3777.031,1604.833,2124.667,132.392,26.325,21.411,
3781.598,1538.333,2139.5,139.079,33.012,20.664,
3786.165,1554.5,1920.333,123.534,17.467,19.151,
3790.733,1626.5,1939.167,119.223,13.157,19.307,
3795.3,1741.167,2063,118.484,12.417,19.882,
3799.867,1617.833,2296.167,141.929,35.862,20.456,
3804.434,1573.5,1948,123.8,17.734,18.386,
